reactionId	compartment	r ; p	ratelaw
vGac1287	Nucleus	nuc_gene_i__LGALS2_ ; nuc_gene_a__LGALS2_	kGac1287 * nuc_gene_i__LGALS2_
vGac1288	Nucleus	nuc_gene_i__RIMBP3B_ ; nuc_gene_a__RIMBP3B_	kGac1288 * nuc_gene_i__RIMBP3B_
vGac1289	Nucleus	nuc_gene_i__KIR2DL4_ ; nuc_gene_a__KIR2DL4_	kGac1289 * nuc_gene_i__KIR2DL4_
vGac1290	Nucleus	nuc_gene_i__HUNK_ ; nuc_gene_a__HUNK_	kGac1290 * nuc_gene_i__HUNK_
vGac1291	Nucleus	nuc_gene_i__CCNA1_ ; nuc_gene_a__CCNA1_	kGac1291 * nuc_gene_i__CCNA1_
vGac1292	Nucleus	nuc_gene_i__SUMO3_ ; nuc_gene_a__SUMO3_	kGac1292 * nuc_gene_i__SUMO3_
vGac1293	Nucleus	nuc_gene_i__ACACA_ ; nuc_gene_a__ACACA_	kGac1293 * nuc_gene_i__ACACA_
vGac1294	Nucleus	nuc_gene_i__CXCR3_ ; nuc_gene_a__CXCR3_	kGac1294 * nuc_gene_i__CXCR3_
vGac1295	Nucleus	nuc_gene_i__SKOR2_ ; nuc_gene_a__SKOR2_	kGac1295 * nuc_gene_i__SKOR2_
vGac1296	Nucleus	nuc_gene_i__ZBTB21_ ; nuc_gene_a__ZBTB21_	kGac1296 * nuc_gene_i__ZBTB21_
vGac1297	Nucleus	nuc_gene_i__H2AB3_ ; nuc_gene_a__H2AB3_	kGac1297 * nuc_gene_i__H2AB3_
vGac1298	Nucleus	nuc_gene_i__USPL1_ ; nuc_gene_a__USPL1_	kGac1298 * nuc_gene_i__USPL1_
vGac1299	Nucleus	nuc_gene_i__OPN1LW_ ; nuc_gene_a__OPN1LW_	kGac1299 * nuc_gene_i__OPN1LW_
vGac1300	Nucleus	nuc_gene_i__OPN1MW_ ; nuc_gene_a__OPN1MW_	kGac1300 * nuc_gene_i__OPN1MW_
vGac1301	Nucleus	nuc_gene_i__RSPH1_ ; nuc_gene_a__RSPH1_	kGac1301 * nuc_gene_i__RSPH1_
vGac1302	Nucleus	nuc_gene_i__UBL4A_ ; nuc_gene_a__UBL4A_	kGac1302 * nuc_gene_i__UBL4A_
vGac1303	Nucleus	nuc_gene_i__MPV17L_ ; nuc_gene_a__MPV17L_	kGac1303 * nuc_gene_i__MPV17L_
vGac1304	Nucleus	nuc_gene_i__NTAN1_ ; nuc_gene_a__NTAN1_	kGac1304 * nuc_gene_i__NTAN1_
vGac1305	Nucleus	nuc_gene_i__CKAP2_ ; nuc_gene_a__CKAP2_	kGac1305 * nuc_gene_i__CKAP2_
vGac1306	Nucleus	nuc_gene_i__KIR3DL1_ ; nuc_gene_a__KIR3DL1_	kGac1306 * nuc_gene_i__KIR3DL1_
vGac1307	Nucleus	nuc_gene_i__DSG3_ ; nuc_gene_a__DSG3_	kGac1307 * nuc_gene_i__DSG3_
vGac1308	Nucleus	nuc_gene_i__SLC25A15_ ; nuc_gene_a__SLC25A15_	kGac1308 * nuc_gene_i__SLC25A15_
vGac1309	Nucleus	nuc_gene_i__COLEC12_ ; nuc_gene_a__COLEC12_	kGac1309 * nuc_gene_i__COLEC12_
vGac1310	Nucleus	nuc_gene_i__EBPL_ ; nuc_gene_a__EBPL_	kGac1310 * nuc_gene_i__EBPL_
vGac1311	Nucleus	nuc_gene_i__BMERB1_ ; nuc_gene_a__BMERB1_	kGac1311 * nuc_gene_i__BMERB1_
vGac1312	Nucleus	nuc_gene_i__NPIPA6_ ; nuc_gene_a__NPIPA6_	kGac1312 * nuc_gene_i__NPIPA6_
vGac1313	Nucleus	nuc_gene_i__SAP18_ ; nuc_gene_a__SAP18_	kGac1313 * nuc_gene_i__SAP18_
vGac1314	Nucleus	nuc_gene_i__MYO19_ ; nuc_gene_a__MYO19_	kGac1314 * nuc_gene_i__MYO19_
vGac1315	Nucleus	nuc_gene_i__BFAR_ ; nuc_gene_a__BFAR_	kGac1315*nuc_gene_i__BFAR_
vGac1316	Nucleus	nuc_gene_i__PITPNB_ ; nuc_gene_a__PITPNB_	kGac1316 * nuc_gene_i__PITPNB_
vGac1317	Nucleus	nuc_gene_i__NDE1_ ; nuc_gene_a__NDE1_	kGac1317 * nuc_gene_i__NDE1_
vGac1318	Nucleus	nuc_gene_i__MN1_ ; nuc_gene_a__MN1_	kGac1318 * nuc_gene_i__MN1_
vGac1319	Nucleus	nuc_gene_i__PCGF2_ ; nuc_gene_a__PCGF2_	kGac1319 * nuc_gene_i__PCGF2_
