reactionId	parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
vGac296	kGac296	lin	0.0005	0.0005	0.0005	0
vGac297	kGac297	lin	0.0005	0.0005	0.0005	0
vGac298	kGac298	lin	0.0005	0.0005	0.0005	0
vGac299	kGac299	lin	0.0005	0.0005	0.0005	0
vGac300	kGac300	lin	0.0005	0.0005	0.0005	0
vGac301	kGac301	lin	0.0005	0.0005	0.0005	0
vGac302	kGac302	lin	0.0005	0.0005	0.0005	0
vGac303	kGac303	lin	0.0005	0.0005	0.0005	0
vGac304	kGac304	lin	0.0005	0.0005	0.0005	0
vGac305	kGac305	lin	0.0005	0.0005	0.0005	0
vGac306	kGac306	lin	0.0005	0.0005	0.0005	0
vGac307	kGac307	lin	0.0005	0.0005	0.0005	0
vGac308	kGac308	lin	0.0005	0.0005	0.0005	0
vGac309	kGac309	lin	0.0005	0.0005	0.0005	0
vGac310	kGac310	lin	0.0005	0.0005	0.0005	0
vGac311	kGac311	lin	0.0005	0.0005	0.0005	0
vGac312	kGac312	lin	0.0005	0.0005	0.0005	0
vGac313	kGac313	lin	0.0005	0.0005	0.0005	0
vGac314	kGac314	lin	0.0005	0.0005	0.0005	0
vGac315	kGac315	lin	0.0005	0.0005	0.0005	0
vGac316	kGac316	lin	0.0005	0.0005	0.0005	0
vGac317	kGac317	lin	0.0005	0.0005	0.0005	0
vGac318	kGac318	lin	0.0005	0.0005	0.0005	0
vGac319	kGac319	lin	0.0005	0.0005	0.0005	0
vGac320	kGac320	lin	0.0005	0.0005	0.0005	0
vGac321	kGac321	lin	0.0005	0.0005	0.0005	0
vGac322	kGac322	lin	0.0005	0.0005	0.0005	0
vGac323	kGac323	lin	0.0005	0.0005	0.0005	0
vGac324	kGac324	lin	0.0005	0.0005	0.0005	0
vGac325	kGac325	lin	0.0005	0.0005	0.0005	0
vGac326	kGac326	lin	0.0005	0.0005	0.0005	0
vGac327	kGac327	lin	0.0005	0.0005	0.0005	0
vGac328	kGac328	lin	0.0005	0.0005	0.0005	0
vGac329	kGac329	lin	0.0005	0.0005	0.0005	0
vGac330	kGac330	lin	0.0005	0.0005	0.0005	0
vGac331	kGac331	lin	0.0005	0.0005	0.0005	0
vGac332	kGac332	lin	0.0005	0.0005	0.0005	0
vGac333	kGac333	lin	0.0005	0.0005	0.0005	0
vGac334	kGac334	lin	0.0005	0.0005	0.0005	0
vGac335	kGac335	lin	0.0005	0.0005	0.0005	0
vGac336	kGac336	lin	0.0005	0.0005	0.0005	0
vGac337	kGac337	lin	0.0005	0.0005	0.0005	0
vGac338	kGac338	lin	0.0005	0.0005	0.0005	0
vGac339	kGac339	lin	0.0005	0.0005	0.0005	0
vGac340	kGac340	lin	0.0005	0.0005	0.0005	0
vGac341	kGac341	lin	0.0005	0.0005	0.0005	0
vGac342	kGac342	lin	0.0005	0.0005	0.0005	0
vGac343	kGac343	lin	0.0005	0.0005	0.0005	0
vGac344	kGac344	lin	0.0005	0.0005	0.0005	0
vGac345	kGac345	lin	0.0005	0.0005	0.0005	0
vGac346	kGac346	lin	0.0005	0.0005	0.0005	0
vGac347	kGac347	lin	0.0005	0.0005	0.0005	0
vGac348	kGac348	lin	0.0005	0.0005	0.0005	0
vGac349	kGac349	lin	0.0005	0.0005	0.0005	0
vGac350	kGac350	lin	0.0005	0.0005	0.0005	0
vGac351	kGac351	lin	0.0005	0.0005	0.0005	0
vGac352	kGac352	lin	0.0005	0.0005	0.0005	0
vGac353	kGac353	lin	0.0005	0.0005	0.0005	0
vGac354	kGac354	lin	0.0005	0.0005	0.0005	0
vGac355	kGac355	lin	0.0005	0.0005	0.0005	0
vGac356	kGac356	lin	0.0005	0.0005	0.0005	0
vGac357	kGac357	lin	0.0005	0.0005	0.0005	0
vGac358	kGac358	lin	0.0005	0.0005	0.0005	0
vGac359	kGac359	lin	0.0005	0.0005	0.0005	0
vGac360	kGac360	lin	0.0005	0.0005	0.0005	0
vGac361	kGac361	lin	0.0005	0.0005	0.0005	0
vGac362	kGac362	lin	0.0005	0.0005	0.0005	0
vGac363	kGac363	lin	0.0005	0.0005	0.0005	0
vGac364	kGac364	lin	0.0005	0.0005	0.0005	0
vGac365	kGac365	lin	0.0005	0.0005	0.0005	0
vGac366	kGac366	lin	0.0005	0.0005	0.0005	0
vGac367	kGac367	lin	0.0005	0.0005	0.0005	0
vGac368	kGac368	lin	0.0005	0.0005	0.0005	0
vGac369	kGac369	lin	0.0005	0.0005	0.0005	0
vGac370	kGac370	lin	0.0005	0.0005	0.0005	0
vGac371	kGac371	lin	0.0005	0.0005	0.0005	0
vGac372	kGac372	lin	0.0005	0.0005	0.0005	0
vGac373	kGac373	lin	0.0005	0.0005	0.0005	0
vGac374	kGac374	lin	0.0005	0.0005	0.0005	0
vGac375	kGac375	lin	0.0005	0.0005	0.0005	0
vGac376	kGac376	lin	0.0005	0.0005	0.0005	0
vGac377	kGac377	lin	0.0005	0.0005	0.0005	0
vGac378	kGac378	lin	0.0005	0.0005	0.0005	0
vGac379	kGac379	lin	0.0005	0.0005	0.0005	0
vGac380	kGac380	lin	0.0005	0.0005	0.0005	0
vGac381	kGac381	lin	0.0005	0.0005	0.0005	0
vGac382	kGac382	lin	0.0005	0.0005	0.0005	0
vGac383	kGac383	lin	0.0005	0.0005	0.0005	0
vGac384	kGac384	lin	0.0005	0.0005	0.0005	0
vGac385	kGac385	lin	0.0005	0.0005	0.0005	0
vGac386	kGac386	lin	0.0005	0.0005	0.0005	0
vGac387	kGac387	lin	0.0005	0.0005	0.0005	0
vGac388	kGac388	lin	0.0005	0.0005	0.0005	0
vGac389	kGac389	lin	0.0005	0.0005	0.0005	0
vGac390	kGac390	lin	0.0005	0.0005	0.0005	0
vGac391	kGac391	lin	0.0005	0.0005	0.0005	0
vGac392	kGac392	lin	0.0005	0.0005	0.0005	0
vGac393	kGac393	lin	0.0005	0.0005	0.0005	0
vGac394	kGac394	lin	0.0005	0.0005	0.0005	0
vGac395	kGac395	lin	0.0005	0.0005	0.0005	0
vGac396	kGac396	lin	0.0005	0.0005	0.0005	0
vGac397	kGac397	lin	0.0005	0.0005	0.0005	0
vGac398	kGac398	lin	0.0005	0.0005	0.0005	0
vGac399	kGac399	lin	0.0005	0.0005	0.0005	0
vGac400	kGac400	lin	0.0005	0.0005	0.0005	0
vGac401	kGac401	lin	0.0005	0.0005	0.0005	0
vGac402	kGac402	lin	0.0005	0.0005	0.0005	0
vGac403	kGac403	lin	0.0005	0.0005	0.0005	0
vGac404	kGac404	lin	0.0005	0.0005	0.0005	0
vGac405	kGac405	lin	0.0005	0.0005	0.0005	0
vGac406	kGac406	lin	0.0005	0.0005	0.0005	0
vGac407	kGac407	lin	0.0005	0.0005	0.0005	0
vGac408	kGac408	lin	0.0005	0.0005	0.0005	0
vGac409	kGac409	lin	0.0005	0.0005	0.0005	0
vGac410	kGac410	lin	0.0005	0.0005	0.0005	0
vGac411	kGac411	lin	0.0005	0.0005	0.0005	0
vGac412	kGac412	lin	0.0005	0.0005	0.0005	0
vGac413	kGac413	lin	0.0005	0.0005	0.0005	0
vGac414	kGac414	lin	0.0005	0.0005	0.0005	0
vGac415	kGac415	lin	0.0005	0.0005	0.0005	0
vGac416	kGac416	lin	0.0005	0.0005	0.0005	0
vGac417	kGac417	lin	0.0005	0.0005	0.0005	0
vGac418	kGac418	lin	0.0005	0.0005	0.0005	0
vGac419	kGac419	lin	0.0005	0.0005	0.0005	0
vGac420	kGac420	lin	0.0005	0.0005	0.0005	0
vGac421	kGac421	lin	0.0005	0.0005	0.0005	0
vGac422	kGac422	lin	0.0005	0.0005	0.0005	0
vGac423	kGac423	lin	0.0005	0.0005	0.0005	0
vGac424	kGac424	lin	0.0005	0.0005	0.0005	0
vGac425	kGac425	lin	0.0005	0.0005	0.0005	0
vGac426	kGac426	lin	0.0005	0.0005	0.0005	0
vGac427	kGac427	lin	0.0005	0.0005	0.0005	0
vGac428	kGac428	lin	0.0005	0.0005	0.0005	0
vGac429	kGac429	lin	0.0005	0.0005	0.0005	0
vGac430	kGac430	lin	0.0005	0.0005	0.0005	0
vGac431	kGac431	lin	0.0005	0.0005	0.0005	0
vGac432	kGac432	lin	0.0005	0.0005	0.0005	0
vGac433	kGac433	lin	0.0005	0.0005	0.0005	0
vGac434	kGac434	lin	0.0005	0.0005	0.0005	0
vGac435	kGac435	lin	0.0005	0.0005	0.0005	0
vGac436	kGac436	lin	0.0005	0.0005	0.0005	0
vGac437	kGac437	lin	0.0005	0.0005	0.0005	0
vGac438	kGac438	lin	0.0005	0.0005	0.0005	0
vGac439	kGac439	lin	0.0005	0.0005	0.0005	0
vGac440	kGac440	lin	0.0005	0.0005	0.0005	0
vGac441	kGac441	lin	0.0005	0.0005	0.0005	0
vGac442	kGac442	lin	0.0005	0.0005	0.0005	0
vGac443	kGac443	lin	0.0005	0.0005	0.0005	0
vGac444	kGac444	lin	0.0005	0.0005	0.0005	0
vGac445	kGac445	lin	0.0005	0.0005	0.0005	0
vGac446	kGac446	lin	0.0005	0.0005	0.0005	0
vGac447	kGac447	lin	0.0005	0.0005	0.0005	0
vGac448	kGac448	lin	0.0005	0.0005	0.0005	0
vGac449	kGac449	lin	0.0005	0.0005	0.0005	0
vGac450	kGac450	lin	0.0005	0.0005	0.0005	0
vGac451	kGac451	lin	0.0005	0.0005	0.0005	0
vGac452	kGac452	lin	0.0005	0.0005	0.0005	0
vGac453	kGac453	lin	0.0005	0.0005	0.0005	0
vGac454	kGac454	lin	0.0005	0.0005	0.0005	0
vGac455	kGac455	lin	0.0005	0.0005	0.0005	0
vGac456	kGac456	lin	0.0005	0.0005	0.0005	0
vGac457	kGac457	lin	0.0005	0.0005	0.0005	0
vGac458	kGac458	lin	0.0005	0.0005	0.0005	0
vGac459	kGac459	lin	0.0005	0.0005	0.0005	0
vGac460	kGac460	lin	0.0005	0.0005	0.0005	0
vGac461	kGac461	lin	0.0005	0.0005	0.0005	0
vGac462	kGac462	lin	0.0005	0.0005	0.0005	0
