index	cyt_prot__LIGAND_	cyt_prot__RECEPTOR_	cyt_prot__LIGAND__RECEPTOR_	nuc_gene_a__LIGAND_	nuc_gene_i__LIGAND_	nuc_gene_a__RECEPTOR_	nuc_gene_i__RECEPTOR_	cyt_mrna__LIGAND_	cyt_mrna__RECEPTOR_
1860.000000	0.0947834	91.2141	5.07649	0.000172556	0.00172525	0.000172556	0.00172525	0.0036222	0.0036222
1890.000000	0.0962388	91.079	5.17618	0.000172551	0.00172525	0.000172551	0.00172525	0.00364264	0.00364264
1920.000000	0.097703	90.9441	5.27631	0.000172548	0.00172526	0.000172548	0.00172526	0.00366304	0.00366304
1950.000000	0.0991759	90.8094	5.3769	0.000172545	0.00172526	0.000172545	0.00172526	0.00368341	0.00368341
1980.000000	0.100658	90.6749	5.47793	0.000172542	0.00172526	0.000172542	0.00172526	0.00370375	0.00370375
2010.000000	0.102148	90.5407	5.57941	0.00017254	0.00172526	0.00017254	0.00172526	0.00372406	0.00372406
2040.000000	0.103647	90.4066	5.68134	0.000172538	0.00172527	0.000172538	0.00172527	0.00374434	0.00374434
2070.000000	0.105155	90.2728	5.78371	0.000172536	0.00172527	0.000172536	0.00172527	0.00376459	0.00376459
2100.000000	0.106672	90.1391	5.88653	0.000172535	0.00172527	0.000172535	0.00172527	0.00378481	0.00378481
2130.000000	0.108197	90.0057	5.98978	0.000172534	0.00172527	0.000172534	0.00172527	0.003805	0.003805
2160.000000	0.109732	89.8725	6.09347	0.000172533	0.00172527	0.000172533	0.00172527	0.00382515	0.00382515
2190.000000	0.111275	89.7395	6.1976	0.000172532	0.00172527	0.000172532	0.00172527	0.00384528	0.00384528
2220.000000	0.112827	89.6067	6.30217	0.000172531	0.00172527	0.000172531	0.00172527	0.00386538	0.00386538
2250.000000	0.114387	89.4741	6.40717	0.000172531	0.00172527	0.000172531	0.00172527	0.00388545	0.00388545
2280.000000	0.115957	89.3418	6.5126	0.00017253	0.00172527	0.00017253	0.00172527	0.00390548	0.00390548
2310.000000	0.117536	89.2096	6.61846	0.00017253	0.00172527	0.00017253	0.00172527	0.00392549	0.00392549
