index	nuc_gene_a__LIGAND_	nuc_gene_i__LIGAND_	nuc_gene_a__RECEPTOR_	nuc_gene_i__RECEPTOR_	cyt_mrna__LIGAND_	cyt_mrna__RECEPTOR_	cyt_prot__LIGAND_	cyt_prot__RECEPTOR_	cyt_prot__LIGAND__RECEPTOR_	
51210.000000	0	2	1	1	3	2	7.82328	1.49713	11.1547	
51240.000000	0	2	1	1	3	2	7.82328	1.49713	11.1548	
51270.000000	0	2	1	1	3	2	7.82327	1.49714	11.1548	
51300.000000	0	2	1	1	3	2	7.82326	1.49714	11.1548	
51330.000000	0	2	1	1	3	2	7.82325	1.49714	11.1548	
51360.000000	0	2	1	1	3	3	7.82325	1.49714	11.1548	
51390.000000	0	2	0	2	3	3	7.45762	1.65079	11.5204	
51420.000000	0	2	0	2	3	3	7.10969	1.77978	11.8683	
51450.000000	0	2	0	2	3	3	6.79832	1.9064	12.1797	
51480.000000	0	2	1	1	3	3	6.51967	2.02998	12.4584	
51510.000000	0	2	1	1	3	3	6.27025	2.14992	12.7078	
51540.000000	0	2	1	1	3	3	6.0469	2.26573	12.9311	
51570.000000	0	2	2	0	3	3	5.84678	2.37703	13.1313	
51600.000000	1	1	2	0	3	3	5.66735	2.48352	13.3107	
51630.000000	1	1	2	0	3	3	5.50632	2.58501	13.4717	
51660.000000	1	1	1	1	3	3	5.36169	2.68138	13.6163	
51690.000000	0	2	1	1	3	3	5.23166	2.77259	13.7464	
51720.000000	0	2	1	1	3	3	5.11463	2.85865	13.8634	
51750.000000	0	2	0	2	3	3	5.0092	2.93964	13.9688	
51780.000000	0	2	0	2	3	3	4.91412	3.01568	14.0639	
51810.000000	0	2	0	2	3	2	4.82829	3.0869	14.1497	
51840.000000	0	2	0	2	3	2	5.01824	2.89737	13.9598	
51870.000000	0	2	0	2	3	2	5.21716	2.74803	13.7609	
51900.000000	0	2	0	2	3	2	5.40555	2.61681	13.5725	
51930.000000	0	2	0	2	3	2	5.58325	2.50123	13.3948	
51960.000000	0	2	0	2	3	2	5.75028	2.39915	13.2278	
